ids	growth	status
{'YDR046C'}	0.08374770604149141	optimal
{'YER119C'}	0.08374770604149141	optimal
{'YCR075C'}	0.08374770604149141	optimal
{'YOL066C'}	0.0	optimal
{'YGL167C'}	0.08374770604149288	optimal
{'YJR016C'}	0.0	optimal
{'YJR040W'}	0.08374770604149241	optimal
{'YOL152W'}	0.08374770604149241	optimal
{'YDL085W'}	0.08374770604149241	optimal
{'YDR256C'}	0.08374770604149241	optimal
{'YNL220W'}	0.0	optimal
{'YLR070C'}	0.08374770604149206	optimal
{'YBR011C'}	0.08374770604149206	optimal
{'YBR196C'}	0.0829935120564641	optimal
{'YOR226C'}	0.08374770604149269	optimal
{'YMR170C'}	0.08374770604149269	optimal
{'YPL095C'}	0.08374770604149269	optimal
{'YIL009W'}	0.08374770604149269	optimal
{'YJR133W'}	0.08374770604149269	optimal
{'YLR158C'}	0.08374770604149269	optimal
{'YOL075C'}	0.08374770604149269	optimal
{'YEL017C-A'}	0.08374770604149269	optimal
{'YDR020C'}	0.08374770604149269	optimal
{'YDL004W'}	0.03024932346146134	optimal
{'YDL022W'}	0.08374770604158399	optimal
{'YDR300C'}	0.08374770604158399	optimal
{'YPL078C'}	0.030249332334400643	optimal
{'YOR283W'}	0.0837477060414838	optimal
{'YLL053C'}	0.0837477060414838	optimal
{'YKL055C'}	0.08374770604149125	optimal
{'YNL129W'}	0.08374770604149125	optimal
{'YMR271C'}	0.08374770604149125	optimal
{'YHR018C'}	0.0	optimal
{'YDR072C'}	0.08374770604149048	optimal
{'YHR201C'}	0.08374770604149048	optimal
{'YCR024C'}	0.08374770604149048	optimal
{'YPR191W'}	0.012094473199076443	optimal
{'YBL011W'}	0.08374770604149313	optimal
{'YGR170W'}	0.08374770604149735	optimal
{'YER019W'}	0.08374770604149735	optimal
{'YOL052C'}	0.0	optimal
{'YBR218C'}	0.08374770604149344	optimal
{'YBR003W'}	0.08374770604149344	optimal
{'YNL219C'}	0.08374770604149344	optimal
{'YNL065W'}	0.08374770604149344	optimal
{'YDR305C'}	0.08374770604149344	optimal
{'YPR060C'}	0.0	optimal
{'YDR298C'}	0.030249323461282607	optimal
{'YLL015W'}	0.08374770604147264	optimal
{'YDL042C'}	0.08374770604147264	optimal
{'YGL012W'}	0.0	optimal
{'YDR533C'}	0.08374770604147792	optimal
{'YNR067C'}	0.08374770604147792	optimal
{'YNL092W'}	0.08374770604147792	optimal
{'YIL023C'}	0.08374770604147792	optimal
{'YPR026W'}	0.08374770604147792	optimal
{'YOR190W'}	0.08374770604147792	optimal
{'YCR034W'}	0.0837477060417018	optimal
{'YBR110W'}	0.0837477060417018	optimal
{'YDR208W'}	0.0837477060417018	optimal
{'YMR261C'}	0.0837477060417018	optimal
{'YBR166C'}	0.0	optimal
{'YCL025C'}	0.08374770604149089	optimal
{'YCR037C'}	0.08374770604149089	optimal
{'YLR189C'}	0.08374770604149089	optimal
{'YDR148C'}	0.08374770511061673	optimal
{'YDR441C'}	0.08374770604149129	optimal
{'Q0085'}	0.030249323461468844	optimal
{'YLR348C'}	0.08374770604149312	optimal
{'YJR158W'}	0.08374770604149312	optimal
{'YMR250W'}	0.08374770604149312	optimal
{'YDL095W'}	0.08374770604149312	optimal
{'YEL024W'}	0.012094473199076815	optimal
{'YNL202W'}	0.08374770604149122	optimal
{'YPL268W'}	0.08374770604149122	optimal
{'YJL045W'}	0.08374770604149122	optimal
{'YJR078W'}	0.0	optimal
{'YBR046C'}	0.0837477060414914	optimal
{'YER037W'}	0.0837477060414914	optimal
{'YLR295C'}	0.030249332334407866	optimal
{'YMR145C'}	0.08374770604149147	optimal
{'YMR267W'}	0.082950841959251	optimal
{'YOL020W'}	0.08374770604149068	optimal
{'YPR167C'}	0.0	optimal
{'YPR003C'}	0.0837477060414902	optimal
{'YKL165C'}	0.0837477060414902	optimal
{'YJL003W'}	0.0837477060414902	optimal
{'YMR241W'}	0.08374770604149118	optimal
{'YDR402C'}	0.08374770604149118	optimal
{'YLR231C'}	0.0	optimal
{'YML059C'}	0.083747706041491	optimal
